municipio,NOM_LOC,LAT,LONG
13,Ciénega de Zimatlán,16.88916667,-96.76611111
33,Guadalupe Etla,17.16666667,-96.81666667
45,Magdalena Apasco,_17.23556,-96.82469
63,Nazareno Etla,17.17685,-96.8279
67,Oaxaca de Juárez,17.06542,-96.72365
77,Reyes Etla,17.2,-96.81666667
78,Rojas de Cuauhtémoc,17.005,-96.61805556
83,San Agustín de las Juntas,17,-96.71666667
102,San Andrés Zautla,_17.2,-96.86666667
107,San Antonio de la Cal,17.03333333,-96.7
115,San Bartolo Coyotepec,16.95805556,-96.7075
150,San Francisco Telixtlahuaca,17.3,-96.9
157,San Jacinto Amilpas,17.08835,-96.75822
174,Ánimas Trujano,_16.983333333333,-96.71666667
197,San Juan Guelavía,16.95,-96.53333333
227,San Lorenzo Cacaotepec,17.13333333,-96.8
294,San Pablo Huitzo,17.27708,-96.88661
295,San Pablo Huixtepec,16.81666667,-96.78333333
298,San Pablo Villa de Mitla,16.92083333,-96.36166667
338,Villa de Etla,17.15,-96.75
343,San Sebastián Abasolo,16.99456,-96.58755
350,San Sebastián Tutla,17.0667,-96.6667
360,Santa Ana Zegache,16.86666667,-96.73333333
369,Santa Catarina Quiané,16.88333333,-96.73333333
375,Santa Cruz Amilpas,17.05752,-96.68175
380,Santa Cruz Papalutla,16.95,-96.58333333
385,Santa Cruz Xoxocotlán,17.02958,-96.73518
390,Santa Lucía del Camino,17.06666667,-96.68333333
399,Santa María Atzompa,17.07944444,-96.78694444
403,Santa María Coyotepec,16.98333333,-96.7
409,Santa María del Tule,17.04722222,-96.63333333
411,Santa María Guelacé,16.99222,-96.60917
483,Santiago Suchilquitongo,17.25,-96.88333333
539,Soledad Etla,17.16666667,-96.81666667
551,Tlacolula de Matamoros,_16.954166666667,-96.47916667
553,Tlalixtac de Cabrera,17.07112,-96.6471
565,Villa de Zaachila,16.95083333,-96.74916667
570,Zimatlán de Álvarez,16.86666667,-96.78333333
